Date,Description,Amount Spent,Category,Vendor,Payment Mode,SpendType
27-May-25,Bigbasket,292.57,Home Essentials,Big Basket,HDFC Credit Card,dynamic
27-May-25,Courier Rental Agreement to Owner,410,Courier,DTDC,GPAY - HDFC Bank Account,dynamic
28-May-25,Amazon,698.92,Online Purchase,Amazon,HDFC Credit Card,dynamic
28-May-25,Swiggy,191,Home Essentials,Swiggy,HDFC Credit Card,dynamic
29-May-25,Fish,800,Home Essentials,Don’t Know,GPAY-Seira-SBI Bank Account,dynamic
29-May-25,Swiggy Instamart,1006,Home Essentials,Swiggy,HDFC Credit Card,dynamic
30-May-25,Beer,205,Alcohol,Kick Tonic,HDFC Credit Card,dynamic
30-May-25,Beer,1260,Alcohol,Kick Tonic,HDFC Credit Card,dynamic
30-May-25,Hair Cut,2004,Personal Care,Toni And Guy,HDFC Credit Card,dynamic
30-May-25,Big Basket,526.74,Home Essentials,Big Basket,HDFC Credit Card,dynamic
30-May-25,Ola,465,Cabs & Auto,Ola,HDFC Credit Card,dynamic
30-May-25,Uber,237.75,Cabs & Auto,Uber,HDFC Credit Card,dynamic
30-May-25,Gpay,49,Don’t Know,Don’t Know,GPAY - HDFC Bank Account,dynamic
31-May-25,Water Recharge - Drinking ,3849,Home Essentials,Livpure,HDFC Credit Card,dynamic
31-May-25,Dinner toit,1674,Resturant,Toit,HDFC Credit Card,dynamic
31-May-25,Buy Domain notjot GoDaddy,1904.33,Online Purchase,GoDaddy,HDFC Credit Card,dynamic
31-May-25,uber,183.14,Cabs & Auto,Uber,HDFC Credit Card,dynamic
31-May-25,uber,354.08,Cabs & Auto,Uber,HDFC Credit Card,dynamic
31-May-25,uber,336.04,Cabs & Auto,Uber,HDFC Credit Card,dynamic
31-May-25,Dinner,1837,Resturant,Don’t Know,HDFC Credit Card,dynamic
01-Jun-25,Dinner chowman,1162,Parcel Food,Swiggy,HDFC Credit Card,dynamic
01-Jun-25,Lunch ice cream,568,Parcel Food,Swiggy,HDFC Credit Card,dynamic
01-Jun-25,Lunch biriyani thalassery,527,Parcel Food,Swiggy,HDFC Credit Card,dynamic
01-Jun-25,Break fast thengamanga,1368,Parcel Food,Swiggy,HDFC Credit Card,dynamic
02-Jun-25,Big Basket,794.41,Home Essentials,Big Basket,HDFC Credit Card,dynamic
02-Jun-25,Cloth Iron,160,Home Essentials,Don’t Know,GPAY-Seira-SBI Bank Account,dynamic
03-Jun-25,Dinner,335,Parcel Food,Swiggy,HDFC Credit Card,dynamic
03-Jun-25,Dinner,335.2,Parcel Food,Zomato,HDFC Credit Card,dynamic
03-Jun-25,Beer,1500,Alcohol,Kick Tonic,HDFC Credit Card,dynamic
03-Jun-25,Coffe,700,Home Essentials,Blue Tokai ,HDFC Credit Card,dynamic
03-Jun-25,Cab,508,Cabs & Auto,OLA,HDFC Credit Card,dynamic
03-Jun-25,Uber,542.74,Cabs & Auto,Uber,HDFC Credit Card,dynamic
03-Jun-25,cab to office eco world,686,Cabs & Auto,Uber,GPAY - HDFC Bank Account,dynamic
03-Jun-25,uber to home from shell ecowrlds,400,Cabs & Auto,Uber,GPAY - HDFC Bank Account,dynamic
04-Jun-25,Key board and mouse,6399,Electronics,Dell,HDFC Credit Card,dynamic
05-Jun-25,Myntra Shorts for me,1419,Clothing,Myntra,HDFC Credit Card,dynamic
05-Jun-25,Freshto home,932,Home Essentials,Fresh To Home,HDFC Credit Card,dynamic
06-Jun-25,Big basket,1413.53,Home Essentials,Big Basket,HDFC Credit Card,dynamic
06-Jun-25,Instamart,572,Home Essentials,Swiggy,HDFC Credit Card,dynamic
06-Jun-25,Swiggy - Biriyani Zest - Starters Dinner,243,Parcel Food,Swiggy,HDFC Credit Card,dynamic
07-Jun-25,Uber,193.2,Cabs & Auto,Uber,HDFC Credit Card,dynamic
07-Jun-25,Swiggy - Hoisin -Dinner,662,Parcel Food,Swiggy,HDFC Credit Card,dynamic
07-Jun-25,Raz Delightgul Gourmet,425,Home Essentials,Lucious,HDFC Credit Card,dynamic
07-Jun-25,Jollygunj,3407,Resturant,Jollygunj,HDFC Credit Card,dynamic
07-Jun-25,Water Purifier Service Tip,100,Home Essentials,Livpure,GPAY - HDFC Bank Account,dynamic
08-Jun-25,Swiggy - UTK - Dinner,615,Parcel Food,Swiggy,HDFC Credit Card,dynamic
08-Jun-25,Myntra,1975,Clothing,Myntra,HDFC Credit Card,dynamic
08-Jun-25,Beer,1190,Alcohol,Kick Tonic,HDFC Credit Card,dynamic
08-Jun-25,Uber,809.6,Cabs & Auto,Uber,HDFC Credit Card,dynamic
08-Jun-25,Swiggy - Auntie Fung's -Lunch,626,Parcel Food,Swiggy,HDFC Credit Card,dynamic
08-Jun-25,Swiggy - Hoisin - Lunch,899,Parcel Food,Swiggy,HDFC Credit Card,dynamic
09-Jun-25,Big Basket,1053.6,Home Essentials,Big Basket,HDFC Credit Card,dynamic
09-Jun-25,Swiggy Instamart,739,Home Essentials,Swiggy,HDFC Credit Card,dynamic
09-Jun-25,Lunch,1366,Parcel Food,Swiggy,HDFC Credit Card,dynamic
09-Jun-25,Fresh To Home,1126.01,Home Essentials,Fresh To Home,HDFC Credit Card,dynamic
10-Jun-25,Raz Bundl Technologies,432,Home Essentials,Swiggy,HDFC Credit Card,dynamic
10-Jun-25,Blinkit,1059,Personal Care,Blinkit,HDFC Credit Card,dynamic
11-Jun-25,Raz Delightgul Gourmet,467,Home Essentials,Lucious,HDFC Credit Card,dynamic
11-Jun-25,Instamart,745,Home Essentials,Swiggy,HDFC Credit Card,dynamic
11-Jun-25,Country Delight Ghee,360,Home Essentials,Country Delight,GPAY-Seira-SBI Bank Account,dynamic
11-Jun-25,Beer,680,Alcohol,Kick Tonic,HDFC Credit Card,dynamic
11-Jun-25,Dinner,336,Parcel Food,Biriyani Zest,HDFC Credit Card,dynamic
11-Jun-25,Dinner,800,Parcel Food,Swiggy,HDFC Credit Card,dynamic
11-Jun-25,Toilet Cleaning,900,Home Essentials,Urban Company,HDFC Credit Card,dynamic
11-Jun-25,Medicine,1298,Medicine ,Rana Ramdev,HDFC Credit Card,dynamic
